Number of keypoints detected: 1944
Number of descriptors computed: 1944
Keypoint Information:
Keypoint 0: Position (x, y): (737.0, 185.0), Size: 31.0, Angle: 34.53437042236328, Response: 0.004270653240382671, Octave: 0, Class ID: -1
Keypoint 1: Position (x, y): (731.0, 728.0), Size: 31.0, Angle: 12.095674514770508, Response: 0.004466331098228693, Octave: 0, Class ID: -1
Keypoint 2: Position (x, y): (729.0, 185.0), Size: 31.0, Angle: 15.742748260498047, Response: 0.005154815968126059, Octave: 0, Class ID: -1
Keypoint 3: Position (x, y): (731.0, 593.0), Size: 31.0, Angle: 28.240724563598633, Response: 0.006385974586009979, Octave: 0, Class ID: -1
Keypoint 4: Position (x, y): (733.0, 159.0), Size: 31.0, Angle: 1.9486150741577148, Response: 0.003765976754948497, Octave: 0, Class ID: -1
Keypoint 5: Position (x, y): (731.0, 381.0), Size: 31.0, Angle: 6.899355411529541, Response: 0.004758141003549099, Octave: 0, Class ID: -1
Keypoint 6: Position (x, y): (733.0, 734.0), Size: 31.0, Angle: 30.773996353149414, Response: 0.003926423843950033, Octave: 0, Class ID: -1
Keypoint 7: Position (x, y): (731.0, 379.0), Size: 31.0, Angle: 353.1039733886719, Response: 0.0038709852378815413, Octave: 0, Class ID: -1
Keypoint 8: Position (x, y): (725.0, 817.0), Size: 31.0, Angle: 5.676816940307617, Response: 0.004030317068099976, Octave: 0, Class ID: -1
Keypoint 9: Position (x, y): (729.0, 502.0), Size: 31.0, Angle: 327.4473876953125, Response: 0.004198106937110424, Octave: 0, Class ID: -1
Keypoint 10: Position (x, y): (726.0, 799.0), Size: 31.0, Angle: 341.7397766113281, Response: 0.005360050592571497, Octave: 0, Class ID: -1
Keypoint 11: Position (x, y): (737.0, 293.0), Size: 31.0, Angle: 6.963745594024658, Response: 0.00572368735447526, Octave: 0, Class ID: -1
Keypoint 12: Position (x, y): (731.0, 590.0), Size: 31.0, Angle: 28.552953720092773, Response: 0.004891040734946728, Octave: 0, Class ID: -1
Keypoint 13: Position (x, y): (730.0, 179.0), Size: 31.0, Angle: 9.58062744140625, Response: 0.0045671844854950905, Octave: 0, Class ID: -1
